Prenom,Nom,CodeCours,NomCours,Session,Note (%)
Casey,Roy,109-910-1MG,Activite physique et sante,1,97
Morgan,Gagnon,109-910-1MG,Activite physique et sante,1,85
Jamie,Gauthier,109-910-1MG,Activite physique et sante,1,71
Robin,Gagnon,109-910-1MG,Activite physique et sante,1,72
Sam,Bouchard,109-910-1MG,Activite physique et sante,1,72
Alex,Pelletier,109-910-1MG,Activite physique et sante,1,50
Sam,Gagnon,109-910-1MG,Activite physique et sante,1,52
Charlie,Pelletier,109-910-1MG,Activite physique et sante,1,41
Morgan,Lefebvre,109-910-1MG,Activite physique et sante,1,96
Morgan,Tremblay,109-910-1MG,Activite physique et sante,1,60
Jamie,Gauthier,109-910-1MG,Activite physique et sante,1,36
Casey,Pelletier,109-910-1MG,Activite physique et sante,1,45
Jamie,Lefebvre,109-910-1MG,Activite physique et sante,1,46
Morgan,Tremblay,109-910-1MG,Activite physique et sante,1,78
Sam,Lefebvre,109-910-1MG,Activite physique et sante,1,97
Morgan,Fortin,109-910-1MG,Activite physique et sante,1,85
Sam,Roy,109-910-1MG,Activite physique et sante,1,69
Taylor,Morin,109-910-1MG,Activite physique et sante,1,68
Morgan,Gauthier,109-910-1MG,Activite physique et sante,1,70
Alex,Morin,109-910-1MG,Activite physique et sante,1,97
Cameron,Bouchard,109-910-1MG,Activite physique et sante,1,75
Jordan,Morin,109-910-1MG,Activite physique et sante,1,88
Sam,Lefebvre,109-910-1MG,Activite physique et sante,1,50
Casey,Fortin,109-910-1MG,Activite physique et sante,1,87
Robin,Lefebvre,109-910-1MG,Activite physique et sante,1,55
Charlie,Lefebvre,109-910-1MG,Activite physique et sante,1,40
Robin,Pelletier,109-910-1MG,Activite physique et sante,1,73
Jamie,Gagnon,109-910-1MG,Activite physique et sante,1,51
Morgan,Fortin,109-910-1MG,Activite physique et sante,1,40
Charlie,Gagnon,109-910-1MG,Activite physique et sante,1,84
Cameron,Morin,109-910-1MG,Activite physique et sante,1,91
Alex,Bouchard,109-910-1MG,Activite physique et sante,1,78
Casey,Roy,109-910-1MG,Activite physique et sante,1,98
Robin,Gauthier,109-910-1MG,Activite physique et sante,1,68
Cameron,Morin,109-910-1MG,Activite physique et sante,1,79
Alex,Gauthier,109-910-1MG,Activite physique et sante,1,98
Cameron,Morin,109-910-1MG,Activite physique et sante,1,82
Jamie,Roy,109-910-1MG,Activite physique et sante,1,42
Casey,Morin,109-910-1MG,Activite physique et sante,1,72
Casey,Gagnon,109-910-1MG,Activite physique et sante,1,39
Taylor,Fortin,109-910-1MG,Activite physique et sante,1,68
Casey,Gagnon,109-910-1MG,Activite physique et sante,1,45
Charlie,Bouchard,109-910-1MG,Activite physique et sante,1,74
Casey,Tremblay,109-910-1MG,Activite physique et sante,1,66
Charlie,Tremblay,109-910-1MG,Activite physique et sante,1,69
Jordan,Pelletier,109-910-1MG,Activite physique et sante,1,41
Taylor,Gagnon,109-910-1MG,Activite physique et sante,1,37
Jordan,Pelletier,109-910-1MG,Activite physique et sante,1,44
Jordan,Morin,109-910-1MG,Activite physique et sante,1,48
Jamie,Tremblay,109-910-1MG,Activite physique et sante,1,96
Charlie,Lavoie,109-910-1MG,Activite physique et sante,1,85
Alex,Tremblay,109-910-1MG,Activite physique et sante,1,64
Jamie,Roy,109-910-1MG,Activite physique et sante,1,64
Taylor,Roy,109-910-1MG,Activite physique et sante,1,69
Alex,Tremblay,109-910-1MG,Activite physique et sante,1,85
Charlie,Lefebvre,109-910-1MG,Activite physique et sante,1,71
Taylor,Lavoie,109-910-1MG,Activite physique et sante,1,94
Robin,Gagnon,109-910-1MG,Activite physique et sante,1,85
Taylor,Lavoie,109-910-1MG,Activite physique et sante,1,38
Charlie,Lefebvre,109-910-1MG,Activite physique et sante,1,100
Casey,Fortin,109-910-1MG,Activite physique et sante,1,53
Jordan,Roy,109-910-1MG,Activite physique et sante,1,57
Charlie,Pelletier,109-910-1MG,Activite physique et sante,1,88
Sam,Bouchard,109-910-1MG,Activite physique et sante,1,63
Jamie,Morin,109-910-1MG,Activite physique et sante,1,100
Jordan,Fortin,109-910-1MG,Activite physique et sante,1,43
Morgan,Roy,109-910-1MG,Activite physique et sante,1,99
Charlie,Tremblay,109-910-1MG,Activite physique et sante,1,44
Sam,Fortin,109-910-1MG,Activite physique et sante,1,59
Sam,Bouchard,109-910-1MG,Activite physique et sante,1,98
Alex,Lefebvre,109-910-1MG,Activite physique et sante,1,62
Morgan,Fortin,109-910-1MG,Activite physique et sante,1,53
Alex,Morin,109-910-1MG,Activite physique et sante,1,42
Jordan,Fortin,109-910-1MG,Activite physique et sante,1,62
Robin,Pelletier,109-910-1MG,Activite physique et sante,1,92
Jamie,Tremblay,109-910-1MG,Activite physique et sante,1,39
Casey,Fortin,109-910-1MG,Activite physique et sante,1,42
Taylor,Lavoie,109-910-1MG,Activite physique et sante,1,64
Sam,Tremblay,109-910-1MG,Activite physique et sante,1,68
Casey,Pelletier,109-910-1MG,Activite physique et sante,1,51
Jamie,Fortin,109-910-1MG,Activite physique et sante,1,38
Alex,Lavoie,109-910-1MG,Activite physique et sante,1,57
Jamie,Lefebvre,109-910-1MG,Activite physique et sante,1,98
Alex,Morin,109-910-1MG,Activite physique et sante,1,96
Sam,Roy,109-910-1MG,Activite physique et sante,1,47
Jamie,Gauthier,109-910-1MG,Activite physique et sante,1,91
Sam,Lefebvre,109-910-1MG,Activite physique et sante,1,84
Ronald,MacDounald,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,39
Homer,Simpson,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,86
Doctor,Doogie,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,73
Jordan,Gauthier,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,86
Taylor,Lavoie,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,81
Jordan,Bouchard,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,92
Jordan,Gagnon,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,58
Alex,Morin,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,44
Charlie,Lavoie,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,93
Casey,Bouchard,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,46
Sam,Fortin,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,54
Alex,Tremblay,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,36
Jamie,Pelletier,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,61
Jordan,Lavoie,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,96
Jamie,Roy,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,59
Casey,Roy,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,100
Cameron,Pelletier,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,50
Taylor,Gauthier,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,49
Casey,Bouchard,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,56
Morgan,Lefebvre,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,49
Robin,Lavoie,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,85
Casey,Gagnon,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,94
Alex,Fortin,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,48
Morgan,Roy,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,76
Charlie,Roy,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,91
Alex,Gauthier,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,72
Robin,Tremblay,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,70
Cameron,Lavoie,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,88
Taylor,Lavoie,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,56
Casey,Gauthier,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,71
Robin,Roy,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,87
Jamie,Bouchard,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,57
Jamie,Roy,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,89
Casey,Roy,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,54
Morgan,Gagnon,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,48
Jamie,Gauthier,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,70
Robin,Gagnon,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,90
Sam,Bouchard,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,35
Alex,Pelletier,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,48
Sam,Gagnon,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,54
Charlie,Pelletier,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,54
Morgan,Lefebvre,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,74
Morgan,Tremblay,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,42
Jamie,Gauthier,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,42
Casey,Pelletier,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,100
Jamie,Lefebvre,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,85
Morgan,Tremblay,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,55
Sam,Lefebvre,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,47
Morgan,Fortin,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,63
Sam,Roy,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,84
Taylor,Morin,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,68
Morgan,Gauthier,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,78
Alex,Morin,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,60
Cameron,Bouchard,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,90
Jordan,Morin,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,62
Sam,Lefebvre,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,66
Casey,Fortin,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,36
Robin,Lefebvre,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,71
Charlie,Lefebvre,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,80
Robin,Pelletier,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,95
Jamie,Gagnon,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,80
Morgan,Fortin,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,98
Charlie,Gagnon,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,76
Cameron,Morin,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,68
Alex,Bouchard,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,99
Casey,Roy,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,75
Robin,Gauthier,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,58
Cameron,Morin,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,96
Alex,Gauthier,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,90
Cameron,Morin,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,97
Jamie,Roy,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,69
Casey,Morin,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,96
Casey,Gagnon,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,59
Taylor,Fortin,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,44
Casey,Gagnon,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,75
Charlie,Bouchard,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,83
Casey,Tremblay,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,66
Charlie,Tremblay,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,59
Jordan,Pelletier,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,69
Taylor,Gagnon,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,98
Jordan,Pelletier,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,49
Jordan,Morin,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,65
Jamie,Tremblay,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,98
Charlie,Lavoie,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,94
Alex,Tremblay,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,35
Jamie,Roy,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,71
Taylor,Roy,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,75
Alex,Tremblay,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,89
Charlie,Lefebvre,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,65
Taylor,Lavoie,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,60
Robin,Gagnon,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,98
Taylor,Lavoie,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,42
Charlie,Lefebvre,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,75
Casey,Fortin,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,71
Jordan,Roy,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,66
Charlie,Pelletier,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,52
Sam,Bouchard,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,85
Jamie,Morin,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,70
Jordan,Fortin,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,93
Morgan,Roy,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,58
Charlie,Tremblay,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,53
Sam,Fortin,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,65
Sam,Bouchard,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,72
Alex,Lefebvre,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,63
Morgan,Fortin,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,63
Alex,Morin,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,52
Jordan,Fortin,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,89
Robin,Pelletier,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,81
Jamie,Tremblay,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,47
Casey,Fortin,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,100
Taylor,Lavoie,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,48
Sam,Tremblay,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,75
Casey,Pelletier,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,87
Jamie,Fortin,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,95
Alex,Lavoie,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,67
Jamie,Lefebvre,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,50
Alex,Morin,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,82
Sam,Roy,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,82
Jamie,Gauthier,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,64
Sam,Lefebvre,201-11R-R1M,Logique et arithmetique de l’ordinateur,1,82
Ronald,MacDounald,340-010-1MQ,Philosophie et rationalite,1,65
Homer,Simpson,340-010-1MQ,Philosophie et rationalite,1,83
Doctor,Doogie,340-010-1MQ,Philosophie et rationalite,1,48
Jordan,Gauthier,340-010-1MQ,Philosophie et rationalite,1,66
Taylor,Lavoie,340-010-1MQ,Philosophie et rationalite,1,85
Jordan,Bouchard,340-010-1MQ,Philosophie et rationalite,1,58
Jordan,Gagnon,340-010-1MQ,Philosophie et rationalite,1,66
Alex,Morin,340-010-1MQ,Philosophie et rationalite,1,83
Charlie,Lavoie,340-010-1MQ,Philosophie et rationalite,1,42
Casey,Bouchard,340-010-1MQ,Philosophie et rationalite,1,60
Sam,Fortin,340-010-1MQ,Philosophie et rationalite,1,60
Alex,Tremblay,340-010-1MQ,Philosophie et rationalite,1,83
Jamie,Pelletier,340-010-1MQ,Philosophie et rationalite,1,68
Jordan,Lavoie,340-010-1MQ,Philosophie et rationalite,1,93
Jamie,Roy,340-010-1MQ,Philosophie et rationalite,1,70
Casey,Roy,340-010-1MQ,Philosophie et rationalite,1,58
Cameron,Pelletier,340-010-1MQ,Philosophie et rationalite,1,60
Taylor,Gauthier,340-010-1MQ,Philosophie et rationalite,1,38
Casey,Bouchard,340-010-1MQ,Philosophie et rationalite,1,48
Morgan,Lefebvre,340-010-1MQ,Philosophie et rationalite,1,78
Robin,Lavoie,340-010-1MQ,Philosophie et rationalite,1,88
Casey,Gagnon,340-010-1MQ,Philosophie et rationalite,1,60
Alex,Fortin,340-010-1MQ,Philosophie et rationalite,1,76
Morgan,Roy,340-010-1MQ,Philosophie et rationalite,1,68
Charlie,Roy,340-010-1MQ,Philosophie et rationalite,1,86
Alex,Gauthier,340-010-1MQ,Philosophie et rationalite,1,85
Robin,Tremblay,340-010-1MQ,Philosophie et rationalite,1,87
Cameron,Lavoie,340-010-1MQ,Philosophie et rationalite,1,62
Taylor,Lavoie,340-010-1MQ,Philosophie et rationalite,1,86
Casey,Gauthier,340-010-1MQ,Philosophie et rationalite,1,80
Robin,Roy,340-010-1MQ,Philosophie et rationalite,1,98
Jamie,Bouchard,340-010-1MQ,Philosophie et rationalite,1,46
Jamie,Roy,340-010-1MQ,Philosophie et rationalite,1,40
Casey,Roy,340-010-1MQ,Philosophie et rationalite,1,71
Morgan,Gagnon,340-010-1MQ,Philosophie et rationalite,1,55
Jamie,Gauthier,340-010-1MQ,Philosophie et rationalite,1,84
Robin,Gagnon,340-010-1MQ,Philosophie et rationalite,1,78
Sam,Bouchard,340-010-1MQ,Philosophie et rationalite,1,54
Alex,Pelletier,340-010-1MQ,Philosophie et rationalite,1,50
Sam,Gagnon,340-010-1MQ,Philosophie et rationalite,1,82
Charlie,Pelletier,340-010-1MQ,Philosophie et rationalite,1,40
Morgan,Lefebvre,340-010-1MQ,Philosophie et rationalite,1,82
Morgan,Tremblay,340-010-1MQ,Philosophie et rationalite,1,81
Jamie,Gauthier,340-010-1MQ,Philosophie et rationalite,1,96
Casey,Pelletier,340-010-1MQ,Philosophie et rationalite,1,65
Jamie,Lefebvre,340-010-1MQ,Philosophie et rationalite,1,74
Morgan,Tremblay,340-010-1MQ,Philosophie et rationalite,1,77
Sam,Lefebvre,340-010-1MQ,Philosophie et rationalite,1,92
Morgan,Fortin,340-010-1MQ,Philosophie et rationalite,1,53
Sam,Roy,340-010-1MQ,Philosophie et rationalite,1,64
Taylor,Morin,340-010-1MQ,Philosophie et rationalite,1,87
Morgan,Gauthier,340-010-1MQ,Philosophie et rationalite,1,52
Alex,Morin,340-010-1MQ,Philosophie et rationalite,1,57
Cameron,Bouchard,340-010-1MQ,Philosophie et rationalite,1,71
Jordan,Morin,340-010-1MQ,Philosophie et rationalite,1,97
Sam,Lefebvre,340-010-1MQ,Philosophie et rationalite,1,88
Casey,Fortin,340-010-1MQ,Philosophie et rationalite,1,71
Robin,Lefebvre,340-010-1MQ,Philosophie et rationalite,1,61
Charlie,Lefebvre,340-010-1MQ,Philosophie et rationalite,1,46
Robin,Pelletier,340-010-1MQ,Philosophie et rationalite,1,80
Jamie,Gagnon,340-010-1MQ,Philosophie et rationalite,1,99
Morgan,Fortin,340-010-1MQ,Philosophie et rationalite,1,47
Charlie,Gagnon,340-010-1MQ,Philosophie et rationalite,1,36
Cameron,Morin,340-010-1MQ,Philosophie et rationalite,1,52
Alex,Bouchard,340-010-1MQ,Philosophie et rationalite,1,94
Casey,Roy,340-010-1MQ,Philosophie et rationalite,1,55
Robin,Gauthier,340-010-1MQ,Philosophie et rationalite,1,35
Cameron,Morin,340-010-1MQ,Philosophie et rationalite,1,83
Alex,Gauthier,340-010-1MQ,Philosophie et rationalite,1,55
Cameron,Morin,340-010-1MQ,Philosophie et rationalite,1,52
Jamie,Roy,340-010-1MQ,Philosophie et rationalite,1,69
Casey,Morin,340-010-1MQ,Philosophie et rationalite,1,71
Casey,Gagnon,340-010-1MQ,Philosophie et rationalite,1,72
Taylor,Fortin,340-010-1MQ,Philosophie et rationalite,1,49
Casey,Gagnon,340-010-1MQ,Philosophie et rationalite,1,89
Charlie,Bouchard,340-010-1MQ,Philosophie et rationalite,1,70
Casey,Tremblay,340-010-1MQ,Philosophie et rationalite,1,76
Charlie,Tremblay,340-010-1MQ,Philosophie et rationalite,1,100
Jordan,Pelletier,340-010-1MQ,Philosophie et rationalite,1,96
Taylor,Gagnon,340-010-1MQ,Philosophie et rationalite,1,51
Jordan,Pelletier,340-010-1MQ,Philosophie et rationalite,1,54
Jordan,Morin,340-010-1MQ,Philosophie et rationalite,1,69
Jamie,Tremblay,340-010-1MQ,Philosophie et rationalite,1,82
Charlie,Lavoie,340-010-1MQ,Philosophie et rationalite,1,77
Alex,Tremblay,340-010-1MQ,Philosophie et rationalite,1,89
Jamie,Roy,340-010-1MQ,Philosophie et rationalite,1,72
Taylor,Roy,340-010-1MQ,Philosophie et rationalite,1,79
Alex,Tremblay,340-010-1MQ,Philosophie et rationalite,1,80
Charlie,Lefebvre,340-010-1MQ,Philosophie et rationalite,1,72
Taylor,Lavoie,340-010-1MQ,Philosophie et rationalite,1,38
Robin,Gagnon,340-010-1MQ,Philosophie et rationalite,1,79
Taylor,Lavoie,340-010-1MQ,Philosophie et rationalite,1,76
Charlie,Lefebvre,340-010-1MQ,Philosophie et rationalite,1,70
Casey,Fortin,340-010-1MQ,Philosophie et rationalite,1,79
Jordan,Roy,340-010-1MQ,Philosophie et rationalite,1,44
Charlie,Pelletier,340-010-1MQ,Philosophie et rationalite,1,97
Sam,Bouchard,340-010-1MQ,Philosophie et rationalite,1,94
Jamie,Morin,340-010-1MQ,Philosophie et rationalite,1,37
Jordan,Fortin,340-010-1MQ,Philosophie et rationalite,1,86
Morgan,Roy,340-010-1MQ,Philosophie et rationalite,1,63
Charlie,Tremblay,340-010-1MQ,Philosophie et rationalite,1,83
Sam,Fortin,340-010-1MQ,Philosophie et rationalite,1,58
Sam,Bouchard,340-010-1MQ,Philosophie et rationalite,1,64
Alex,Lefebvre,340-010-1MQ,Philosophie et rationalite,1,35
Morgan,Fortin,340-010-1MQ,Philosophie et rationalite,1,65
Alex,Morin,340-010-1MQ,Philosophie et rationalite,1,94
Jordan,Fortin,340-010-1MQ,Philosophie et rationalite,1,99
Robin,Pelletier,340-010-1MQ,Philosophie et rationalite,1,37
Jamie,Tremblay,340-010-1MQ,Philosophie et rationalite,1,77
Casey,Fortin,340-010-1MQ,Philosophie et rationalite,1,60
Taylor,Lavoie,340-010-1MQ,Philosophie et rationalite,1,58
Sam,Tremblay,340-010-1MQ,Philosophie et rationalite,1,45
Casey,Pelletier,340-010-1MQ,Philosophie et rationalite,1,94
Jamie,Fortin,340-010-1MQ,Philosophie et rationalite,1,83
Alex,Lavoie,340-010-1MQ,Philosophie et rationalite,1,60
Jamie,Lefebvre,340-010-1MQ,Philosophie et rationalite,1,67
Alex,Morin,340-010-1MQ,Philosophie et rationalite,1,58
Sam,Roy,340-010-1MQ,Philosophie et rationalite,1,67
Jamie,Gauthier,340-010-1MQ,Philosophie et rationalite,1,83
Sam,Lefebvre,340-010-1MQ,Philosophie et rationalite,1,45
Ronald,MacDounald,420-011-3R1,Developpement Web I,1,72
Homer,Simpson,420-011-3R1,Developpement Web I,1,52
Doctor,Doogie,420-011-3R1,Developpement Web I,1,51
Jordan,Gauthier,420-011-3R1,Developpement Web I,1,77
Taylor,Lavoie,420-011-3R1,Developpement Web I,1,49
Jordan,Bouchard,420-011-3R1,Developpement Web I,1,42
Jordan,Gagnon,420-011-3R1,Developpement Web I,1,69
Alex,Morin,420-011-3R1,Developpement Web I,1,80
Charlie,Lavoie,420-011-3R1,Developpement Web I,1,82
Casey,Bouchard,420-011-3R1,Developpement Web I,1,76
Sam,Fortin,420-011-3R1,Developpement Web I,1,55
Alex,Tremblay,420-011-3R1,Developpement Web I,1,91
Jamie,Pelletier,420-011-3R1,Developpement Web I,1,71
Jordan,Lavoie,420-011-3R1,Developpement Web I,1,41
Jamie,Roy,420-011-3R1,Developpement Web I,1,60
Casey,Roy,420-011-3R1,Developpement Web I,1,41
Cameron,Pelletier,420-011-3R1,Developpement Web I,1,77
Taylor,Gauthier,420-011-3R1,Developpement Web I,1,77
Casey,Bouchard,420-011-3R1,Developpement Web I,1,82
Morgan,Lefebvre,420-011-3R1,Developpement Web I,1,80
Robin,Lavoie,420-011-3R1,Developpement Web I,1,68
Casey,Gagnon,420-011-3R1,Developpement Web I,1,42
Alex,Fortin,420-011-3R1,Developpement Web I,1,93
Morgan,Roy,420-011-3R1,Developpement Web I,1,81
Charlie,Roy,420-011-3R1,Developpement Web I,1,74
Alex,Gauthier,420-011-3R1,Developpement Web I,1,75
Robin,Tremblay,420-011-3R1,Developpement Web I,1,39
Cameron,Lavoie,420-011-3R1,Developpement Web I,1,43
Taylor,Lavoie,420-011-3R1,Developpement Web I,1,95
Casey,Gauthier,420-011-3R1,Developpement Web I,1,93
Robin,Roy,420-011-3R1,Developpement Web I,1,91
Jamie,Bouchard,420-011-3R1,Developpement Web I,1,48
Jamie,Roy,420-011-3R1,Developpement Web I,1,69
Casey,Roy,420-011-3R1,Developpement Web I,1,45
Morgan,Gagnon,420-011-3R1,Developpement Web I,1,65
Jamie,Gauthier,420-011-3R1,Developpement Web I,1,66
Robin,Gagnon,420-011-3R1,Developpement Web I,1,94
Sam,Bouchard,420-011-3R1,Developpement Web I,1,89
Alex,Pelletier,420-011-3R1,Developpement Web I,1,87
